sku;productName;picture;pictureBig;brand;price;crossedOverPrice;discountRate;ratingCount;ratingScore;productUrl;Yaş Seçimi;Kategori;Fiyat Aralığı;ShipmentDay
DKFIRSTMOM2016-12;First Steps Anneme Özel Pek Romantik Hediye Sepeti, Anneler Günü Özel;http://images.hepsiburada.net/assets/Mobilya/200/Mobilya_12559456.jpg;http://images.hepsiburada.net/assets/Mobilya/500/Mobilya_12559456.jpg;First Steps;62,91;89,90;30;0;0;http://www.hepsiburada.com/first-steps-anneme-ozel-pek-romantik-hediye-sepeti-anneler-gunu-ozel-p-DKFIRSTMOM2016-12;46 Yaş ve Üzeri,36-45 Yaş,25-35 Yaş;Mobilya, Dekorasyon;50TL - 100TL;3
MBIPK33854069;Dimax Jival Koltuk Takımı;http://images.hepsiburada.net/assets/Mobilya/200/Mobilya_6739726.jpg;http://images.hepsiburada.net/assets/Mobilya/500/Mobilya_6739726.jpg;Dimax;3669,00;5499,90;33;0;0;http://www.hepsiburada.com/dimax-jival-koltuk-takimi-p-MBIPK33854069;36-45 Yaş;Mobilya, Dekorasyon;250TL üzerinde;7
MTALTUSALM701;Altus ALM-701 A+ 7 Kg 1000 Devir Çamaşır Makinesi;http://images.hepsiburada.net/assets/MAG/200/MAG_1484359.jpg;http://images.hepsiburada.net/assets/MAG/500/MAG_1484359.jpg;Altus;789,00;1099,00;28;68;4,1;http://www.hepsiburada.com/altus-alm-701-a-7-kg-1000-devir-camasir-makinesi-p-MTALTUSALM701;46 Yaş ve Üzeri;Beyaz Eşya, Mutfak;250TL üzerinde;0
ZYCHOC0267;ChocChic Anneler Günü-Canım Anneme Çikolata;http://images.hepsiburada.net/assets/Taris/200/Taris_4638084.jpg;http://images.hepsiburada.net/assets/Taris/500/Taris_4638084.jpg;ChocChic;49,90;59,90;17;0;0;http://www.hepsiburada.com/chocchic-anneler-gunu-canim-anneme-cikolata-p-ZYCHOC0267;36-45 Yaş,25-35 Yaş;Süpermarket;0TL - 50TL;1
HRMDL8310;Modelight Klasik Ahşap Abajur;http://images.hepsiburada.net/assets/Hirdavat/200/Hirdavat_1478648.jpg;http://images.hepsiburada.net/assets/Hirdavat/500/Hirdavat_1478648.jpg;Mode Light;67,90;82,90;18;6;4,3;http://www.hepsiburada.com/modelight-klasik-ahsap-abajur-p-HRMDL8310;46 Yaş ve Üzeri;Yapı Market, Hırdavat;50TL - 100TL;0
SGBRAUN710;Braun Satin Hair 7 Iontec HD710 2200W Saç Kurutma Makinesi;http://images.hepsiburada.net/assets/SG/200/SG_10573021.jpg;http://images.hepsiburada.net/assets/SG/500/SG_10573021.jpg;Braun;149,90;229,90;35;290;4,3;http://www.hepsiburada.com/braun-satin-hair-7-iontec-hd710-2200w-sac-kurutma-makinesi-p-SGBRAUN710;46 Yaş ve Üzeri,36-45 Yaş,25-35 Yaş;Sağlık, Kişisel Bakım;100TL - 150TL;0
SADK-1305-4S;Dice Kayek DK-1305-4S Kadın Kol Saati;http://images.hepsiburada.net/assets/Saat/200/Saat_2964301.jpg;http://images.hepsiburada.net/assets/Saat/500/Saat_2964301.jpg;Dice Kayek;87,9;299,00;71;0;0;http://www.hepsiburada.com/dice-kayek-dk-1305-4s-kadin-kol-saati-p-SADK-1305-4S;25-35 Yaş;Saat, Gözlük, Aksesuar;50TL - 100TL;0
MBKEN811686;Kenyap 811686 Verona Mutfak;http://images.hepsiburada.net/assets/Mobilya/200/Mobilya_3672871.jpg;http://images.hepsiburada.net/assets/Mobilya/500/Mobilya_3672871.jpg;Kenyap;399,90;615,90;35;7;3,7;http://www.hepsiburada.com/kenyap-811686-verona-mutfak-p-MBKEN811686;46 Yaş ve Üzeri,36-45 Yaş;Mobilya, Dekorasyon;250TL üzerinde;10
DKNOM125JXN275;Anne Ve Çocukları Figürlü Porselen Biblo;http://images.hepsiburada.net/assets/Mobilya/200/Mobilya_4058002.jpg;http://images.hepsiburada.net/assets/Mobilya/500/Mobilya_4058002.jpg;Gift Cloud;315,44;441,63;29;0;0;http://www.hepsiburada.com/anne-ve-cocuklari-figurlu-porselen-biblo-p-DKNOM125JXN275;36-45 Yaş,25-35 Yaş;Mobilya, Dekorasyon;250TL üzerinde;5
MTHECSQUAREMASIYAY;Hecha Grıllpan Square 28 Cm Tava Mat Siyah;http://images.hepsiburada.net/assets/MAG/200/MAG_10200906.jpg;http://images.hepsiburada.net/assets/MAG/500/MAG_10200906.jpg;Hecha;169,00;188,99;11;17;4,5;http://www.hepsiburada.com/hecha-grillpan-square-28-cm-tava-mat-siyah-p-MTHECSQUAREMASIYAY;36-45 Yaş,25-35 Yaş;Beyaz Eşya, Mutfak;150TL - 250TL;3
